TIME,GEO,GEO_LABEL,SEX,AGE,UNIT,Value
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Total,Total,Number,1174624
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Total,Less than 5 years,Number,89133
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Total,From 45 to 49 years,Number,77337
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Total,From 50 to 54 years,Number,69064
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Males,Total,Number,575425
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Males,Less than 5 years,Number,45621
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Males,From 45 to 49 years,Number,40276
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Males,From 50 to 54 years,Number,34339
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Females,Total,Number,599199
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Females,Less than 5 years,Number,43512
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Females,From 45 to 49 years,Number,37061
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Females,From 50 to 54 years,Number,34725
2013,BE21,Prov. Antwerpen,Total,Total,Number,1802309
2013,BE21,Prov. Antwerpen,Total,Less than 5 years,Number,107259
2013,BE21,Prov. Antwerpen,Total,From 45 to 49 years,Number,134949
2013,BE21,Prov. Antwerpen,Total,From 50 to 54 years,Number,132998
2013,BE21,Prov. Antwerpen,Males,Total,Number,893584
2013,BE21,Prov. Antwerpen,Males,Less than 5 years,Number,55026
2013,BE21,Prov. Antwerpen,Males,From 45 to 49 years,Number,68997
2013,BE21,Prov. Antwerpen,Males,From 50 to 54 years,Number,67083
2013,BE21,Prov. Antwerpen,Females,Total,Number,908725
2013,BE21,Prov. Antwerpen,Females,Less than 5 years,Number,52233
2013,BE21,Prov. Antwerpen,Females,From 45 to 49 years,Number,65952
2013,BE21,Prov. Antwerpen,Females,From 50 to 54 years,Number,65915
2013,BE22,Prov. Limburg (BE),Total,Total,Number,855963
2013,BE22,Prov. Limburg (BE),Total,Less than 5 years,Number,45739
2013,BE22,Prov. Limburg (BE),Total,From 45 to 49 years,Number,67621
2013,BE22,Prov. Limburg (BE),Total,From 50 to 54 years,Number,68393
2013,BE22,Prov. Limburg (BE),Males,Total,Number,426991
2013,BE22,Prov. Limburg (BE),Males,Less than 5 years,Number,23487
2013,BE22,Prov. Limburg (BE),Males,From 45 to 49 years,Number,34573
2013,BE22,Prov. Limburg (BE),Males,From 50 to 54 years,Number,34748
2013,BE22,Prov. Limburg (BE),Females,Total,Number,428972
2013,BE22,Prov. Limburg (BE),Females,Less than 5 years,Number,22252
2013,BE22,Prov. Limburg (BE),Females,From 45 to 49 years,Number,33048
2013,BE22,Prov. Limburg (BE),Females,From 50 to 54 years,Number,33645
2013,BE23,Prov. Oost-Vlaanderen,Total,Total,Number,1465150
2013,BE23,Prov. Oost-Vlaanderen,Total,Less than 5 years,Number,82797
2013,BE23,Prov. Oost-Vlaanderen,Total,From 45 to 49 years,Number,110361
2013,BE23,Prov. Oost-Vlaanderen,Total,From 50 to 54 years,Number,106533
2013,BE23,Prov. Oost-Vlaanderen,Males,Total,Number,722161
2013,BE23,Prov. Oost-Vlaanderen,Males,Less than 5 years,Number,42172
2013,BE23,Prov. Oost-Vlaanderen,Males,From 45 to 49 years,Number,56079
2013,BE23,Prov. Oost-Vlaanderen,Males,From 50 to 54 years,Number,54087
2013,BE23,Prov. Oost-Vlaanderen,Females,Total,Number,742989
2013,BE23,Prov. Oost-Vlaanderen,Females,Less than 5 years,Number,40625
