TIME,GEO,GEO_LABEL,UNIT,Value
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Euro per inhabitant,62400
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Euro per inhabitant in percentage of the EU average,233
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Purchasing power standard (PPS) per inhabitant,56500
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,211
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million euro,72175
2013,BE10,R�gion de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million purchasing power standard (PPS),65316
2013,BE21,Prov. Antwerpen,Euro per inhabitant,41600
2013,BE21,Prov. Antwerpen,Euro per inhabitant in percentage of the EU average,155
2013,BE21,Prov. Antwerpen,Purchasing power standard (PPS) per inhabitant,37600
2013,BE21,Prov. Antwerpen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,141
2013,BE21,Prov. Antwerpen,Million euro,74593
2013,BE21,Prov. Antwerpen,Million purchasing power standard (PPS),67505
2013,BE22,Prov. Limburg (BE),Euro per inhabitant,28900
2013,BE22,Prov. Limburg (BE),Euro per inhabitant in percentage of the EU average,108
2013,BE22,Prov. Limburg (BE),Purchasing power standard (PPS) per inhabitant,26200
2013,BE22,Prov. Limburg (BE),Purchasing power standards (PPS) per inhabitant in percentage of the EU average,98
2013,BE22,Prov. Limburg (BE),Million euro,24657
2013,BE22,Prov. Limburg (BE),Million purchasing power standard (PPS),22313
2013,BE23,Prov. Oost-Vlaanderen,Euro per inhabitant,32200
2013,BE23,Prov. Oost-Vlaanderen,Euro per inhabitant in percentage of the EU average,121
2013,BE23,Prov. Oost-Vlaanderen,Purchasing power standard (PPS) per inhabitant,29200
2013,BE23,Prov. Oost-Vlaanderen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,109
2013,BE23,Prov. Oost-Vlaanderen,Million euro,47154
2013,BE23,Prov. Oost-Vlaanderen,Million purchasing power standard (PPS),42673
2013,BE24,Prov. Vlaams-Brabant,Euro per inhabitant,38200
2013,BE24,Prov. Vlaams-Brabant,Euro per inhabitant in percentage of the EU average,143
2013,BE24,Prov. Vlaams-Brabant,Purchasing power standard (PPS) per inhabitant,34600
2013,BE24,Prov. Vlaams-Brabant,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,129
2013,BE24,Prov. Vlaams-Brabant,Million euro,42119
2013,BE24,Prov. Vlaams-Brabant,Million purchasing power standard (PPS),38116
2013,BE25,Prov. West-Vlaanderen,Euro per inhabitant,34200
2013,BE25,Prov. West-Vlaanderen,Euro per inhabitant in percentage of the EU average,128
2013,BE25,Prov. West-Vlaanderen,Purchasing power standard (PPS) per inhabitant,30900
2013,BE25,Prov. West-Vlaanderen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,116
2013,BE25,Prov. West-Vlaanderen,Million euro,40054
2013,BE25,Prov. West-Vlaanderen,Million purchasing power standard (PPS),36247
2013,BE31,Prov. Brabant Wallon,Euro per inhabitant,38300
2013,BE31,Prov. Brabant Wallon,Euro per inhabitant in percentage of the EU average,143
2013,BE31,Prov. Brabant Wallon,Purchasing power standard (PPS) per inhabitant,34600
2013,BE31,Prov. Brabant Wallon,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,130
2013,BE31,Prov. Brabant Wallon,Million euro,14893
2013,BE31,Prov. Brabant Wallon,Million purchasing power standard (PPS),13478
2013,BE32,Prov. Hainaut,Euro per inhabitant,22900
2013,BE32,Prov. Hainaut,Euro per inhabitant in percentage of the EU average,86
2013,BE32,Prov. Hainaut,Purchasing power standard (PPS) per inhabitant,20700
2013,BE32,Prov. Hainaut,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,78
2013,BE32,Prov. Hainaut,Million euro,30430
2013,BE32,Prov. Hainaut,Million purchasing power standard (PPS),27538
2013,BE33,Prov. Li�ge,Euro per inhabitant,25900
2013,BE33,Prov. Li�ge,Euro per inhabitant in percentage of the EU average,97
2013,BE33,Prov. Li�ge,Purchasing power standard (PPS) per inhabitant,23400
2013,BE33,Prov. Li�ge,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,88
2013,BE33,Prov. Li�ge,Million euro,28165
2013,BE33,Prov. Li�ge,Million purchasing power standard (PPS),25488
2013,BE34,Prov. Luxembourg (BE),Euro per inhabitant,22800
2013,BE34,Prov. Luxembourg (BE),Euro per inhabitant in percentage of the EU average,85
2013,BE34,Prov. Luxembourg (BE),Purchasing power standard (PPS) per inhabitant,20600
2013,BE34,Prov. Luxembourg (BE),Purchasing power standards (PPS) per inhabitant in percentage of the EU average,77
2013,BE34,Prov. Luxembourg (BE),Million euro,6273
2013,BE34,Prov. Luxembourg (BE),Million purchasing power standard (PPS),5677
2013,BE35,Prov. Namur,Euro per inhabitant,24700
2013,BE35,Prov. Namur,Euro per inhabitant in percentage of the EU average,92
2013,BE35,Prov. Namur,Purchasing power standard (PPS) per inhabitant,22300
2013,BE35,Prov. Namur,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,84
2013,BE35,Prov. Namur,Million euro,11914
2013,BE35,Prov. Namur,Million purchasing power standard (PPS),10782
2013,BEZZ,Extra-Regio NUTS 2,Euro per inhabitant, 
2013,BEZZ,Extra-Regio NUTS 2,Euro per inhabitant in percentage of the EU average, 
2013,BEZZ,Extra-Regio NUTS 2,Purchasing power standard (PPS) per inhabitant, 
2013,BEZZ,Extra-Regio NUTS 2,Purchasing power standards (PPS) per inhabitant in percentage of the EU average, 
2013,BEZZ,Extra-Regio NUTS 2,Million euro,272
2013,BEZZ,Extra-Regio NUTS 2,Million purchasing power standard (PPS),246
2013,BG31,Severozapaden,Euro per inhabitant,3600
2013,BG31,Severozapaden,Euro per inhabitant in percentage of the EU average,14
2013,BG31,Severozapaden,Purchasing power standard (PPS) per inhabitant,7700
2013,BG31,Severozapaden,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,29
2013,BG31,Severozapaden,Million euro,2951
2013,BG31,Severozapaden,Million purchasing power standard (PPS),6256
2013,BG32,Severen tsentralen,Euro per inhabitant,4100
2013,BG32,Severen tsentralen,Euro per inhabitant in percentage of the EU average,15
2013,BG32,Severen tsentralen,Purchasing power standard (PPS) per inhabitant,8600
2013,BG32,Severen tsentralen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,32
2013,BG32,Severen tsentralen,Million euro,3418
2013,BG32,Severen tsentralen,Million purchasing power standard (PPS),7247
2013,BG33,Severoiztochen,Euro per inhabitant,4800
2013,BG33,Severoiztochen,Euro per inhabitant in percentage of the EU average,18
2013,BG33,Severoiztochen,Purchasing power standard (PPS) per inhabitant,10100
2013,BG33,Severoiztochen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,38
2013,BG33,Severoiztochen,Million euro,4559
2013,BG33,Severoiztochen,Million purchasing power standard (PPS),9667
2013,BG34,Yugoiztochen,Euro per inhabitant,4900
2013,BG34,Yugoiztochen,Euro per inhabitant in percentage of the EU average,18
2013,BG34,Yugoiztochen,Purchasing power standard (PPS) per inhabitant,10300
2013,BG34,Yugoiztochen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,39
2013,BG34,Yugoiztochen,Million euro,5188
2013,BG34,Yugoiztochen,Million purchasing power standard (PPS),10999
2013,BG41,Yugozapaden,Euro per inhabitant,9300
2013,BG41,Yugozapaden,Euro per inhabitant in percentage of the EU average,35
2013,BG41,Yugozapaden,Purchasing power standard (PPS) per inhabitant,19800
2013,BG41,Yugozapaden,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,74
2013,BG41,Yugozapaden,Million euro,19877
2013,BG41,Yugozapaden,Million purchasing power standard (PPS),42144
2013,BG42,Yuzhen tsentralen,Euro per inhabitant,4100
2013,BG42,Yuzhen tsentralen,Euro per inhabitant in percentage of the EU average,15
2013,BG42,Yuzhen tsentralen,Purchasing power standard (PPS) per inhabitant,8600
2013,BG42,Yuzhen tsentralen,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,32
2013,BG42,Yuzhen tsentralen,Million euro,5919
2013,BG42,Yuzhen tsentralen,Million purchasing power standard (PPS),12550
2013,CZ01,Praha,Euro per inhabitant,31100
2013,CZ01,Praha,Euro per inhabitant in percentage of the EU average,116
2013,CZ01,Praha,Purchasing power standard (PPS) per inhabitant,46200
2013,CZ01,Praha,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,173
2013,CZ01,Praha,Million euro,38689
2013,CZ01,Praha,Million purchasing power standard (PPS),57473
2013,CZ02,Stredn� Cechy,Euro per inhabitant,13400
2013,CZ02,Stredn� Cechy,Euro per inhabitant in percentage of the EU average,50
2013,CZ02,Stredn� Cechy,Purchasing power standard (PPS) per inhabitant,19900
2013,CZ02,Stredn� Cechy,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,74
2013,CZ02,Stredn� Cechy,Million euro,17335
2013,CZ02,Stredn� Cechy,Million purchasing power standard (PPS),25752
2013,CZ03,Jihoz�pad,Euro per inhabitant,13300
2013,CZ03,Jihoz�pad,Euro per inhabitant in percentage of the EU average,50
2013,CZ03,Jihoz�pad,Purchasing power standard (PPS) per inhabitant,19800
2013,CZ03,Jihoz�pad,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,74
2013,CZ03,Jihoz�pad,Million euro,16091
2013,CZ03,Jihoz�pad,Million purchasing power standard (PPS),23904
2013,CZ04,Severoz�pad,Euro per inhabitant,11300
2013,CZ04,Severoz�pad,Euro per inhabitant in percentage of the EU average,42
2013,CZ04,Severoz�pad,Purchasing power standard (PPS) per inhabitant,16700
2013,CZ04,Severoz�pad,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,63
2013,CZ04,Severoz�pad,Million euro,12705
2013,CZ04,Severoz�pad,Million purchasing power standard (PPS),18873
2013,CZ05,Severov�chod,Euro per inhabitant,12200
2013,CZ05,Severov�chod,Euro per inhabitant in percentage of the EU average,46
2013,CZ05,Severov�chod,Purchasing power standard (PPS) per inhabitant,18100
2013,CZ05,Severov�chod,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,68
2013,CZ05,Severov�chod,Million euro,18362
2013,CZ05,Severov�chod,Million purchasing power standard (PPS),27277
2013,CZ06,Jihov�chod,Euro per inhabitant,14100
2013,CZ06,Jihov�chod,Euro per inhabitant in percentage of the EU average,53
2013,CZ06,Jihov�chod,Purchasing power standard (PPS) per inhabitant,21000
2013,CZ06,Jihov�chod,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,79
2013,CZ06,Jihov�chod,Million euro,23755
2013,CZ06,Jihov�chod,Million purchasing power standard (PPS),35289
2013,CZ07,Stredn� Morava,Euro per inhabitant,12100
2013,CZ07,Stredn� Morava,Euro per inhabitant in percentage of the EU average,45
2013,CZ07,Stredn� Morava,Purchasing power standard (PPS) per inhabitant,17900
2013,CZ07,Stredn� Morava,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,67
2013,CZ07,Stredn� Morava,Million euro,14776
2013,CZ07,Stredn� Morava,Million purchasing power standard (PPS),21951
2013,CZ08,Moravskoslezsko,Euro per inhabitant,12400
2013,CZ08,Moravskoslezsko,Euro per inhabitant in percentage of the EU average,47
2013,CZ08,Moravskoslezsko,Purchasing power standard (PPS) per inhabitant,18500
2013,CZ08,Moravskoslezsko,Purchasing power standards (PPS) per inhabitant in percentage of the EU average,69
2013,CZ08,Moravskoslezsko,Million euro,15221
2013,CZ08,Moravskoslezsko,Million purchasing power standard (PPS),22611
